Timestamp,Age,Gender,Are you a student?,Do you own or regularly use a motorcycle?,City,How far do you travel daily?,What is your approximate weekly fuel expense? (PKR),How often do you use your motorcycle?,Rising fuel prices affect my daily travel decisions,I reduce my travel due to high fuel costs,Fuel prices have caused me to miss classes or work,High fuel costs negatively impact my academic productivity,I feel financial stress due to fuel expenses,"On average, how many days per month do you miss due to fuel issues?",Are you aware of any government fuel subsidy programs?,A fuel subsidy would improve my mobility,A digital system (QR-based) would make subsidy distribution more transparent,I would use a digital fuel subsidy system if available
4/12/2026 1:12:25,20,Male,Yes,Yes,Lahore,10.0,1000,Daily,5.0,3.0,3,3,5,3-5,No,3,3.0,2
4/12/2026 1:17:27,20,Male,Yes,Yes,Lahore,10.0,500,Rarely,4.0,3.0,5,4,2,More than 5,No,1,2.0,4
4/12/2026 11:54:03,19,Male,Yes,Yes,Lahore,20.0,2000,Daily,4.0,4.0,2,3,3,0,Yes,3,1.0,3
4/12/2026 18:37:10,18,Male,Yes,Yes,Lahore,16.0,2100,3–5 times a week,5.0,4.0,1,1,4,0,Yes,5,5.0,5
4/12/2026 18:38:56,20,Male,Yes,Yes,Lahore,32.0,3000,Daily,,,1,4,5,0,Yes,5,5.0,5
4/12/2026 21:22:23,20,Male,Yes,Yes,Lahore,30.0,1200,Daily,5.0,5.0,4,3,3,3-5,Yes,4,3.0,5
4/13/2026 8:20:49,18,Male,Yes,Yes,Lahore,,3000,Daily,2.0,2.0,1,1,3,0,Yes,2,2.0,5
4/17/2026 13:02:28,21,Male,Yes,Yes,Lahore,25.0,3200,Daily,5.0,5.0,5,5,5,0,Yes,5,5.0,4
4/19/2026 19:43:37,24,Male,Yes,Yes,Lahore,30.0,3000,Daily,5.0,5.0,4,4,4,1-2,Yes,1,2.0,3
4/19/2026 19:47:08,21,Male,Yes,Yes,Lahore,15.0,3200,Daily,5.0,5.0,5,5,5,3-5,No,5,5.0,4
4/19/2026 19:55:10,24,Male,Yes,Yes,Lahore,40.0,4000,Daily,5.0,1.0,3,4,3,3-5,No,3,1.0,3
4/19/2026 19:56:07,20,Male,Yes,Yes,Lahore,20.0,4000,Daily,1.0,1.0,1,1,1,1-2,No,1,1.0,1
4/19/2026 19:56:36,18,Male,Yes,Yes,Sialkot,10.0,10000,Daily,2.0,3.0,4,2,3,1-2,Yes,3,,4
4/19/2026 20:01:38,19,Male,Yes,Yes,Sialkot,7.0,5000,Daily,5.0,5.0,5,5,5,More than 5,Yes,5,5.0,5
4/19/2026 20:04:14,19,Male,Yes,No,Lahore,38.0,4000,Daily,5.0,5.0,1,1,1,0,Yes,5,5.0,5
4/19/2026 20:12:31,18,Male,Yes,Yes,Lahore,12.0,900,Daily,1.0,1.0,1,3,2,1-2,Yes,3,4.0,3
4/19/2026 20:25:06,21,Male,Yes,Yes,Lahore,30.0,2000,Daily,5.0,5.0,2,1,5,0,No,5,5.0,5
